相對年度,平均所得相對成長率百分點,事件數,縣市,輪替年度,由,轉為,所得相對成長率百分點
1,-2.306381243149293,28,宜蘭縣,2019,DPP,KMT,2.1767861481784223
1,-2.306381243149293,28,彰化縣,2002,KMT,DPP,1.421749226343394
1,-2.306381243149293,28,彰化縣,2006,DPP,KMT,-6.075914074101441
1,-2.306381243149293,28,彰化縣,2015,KMT,DPP,4.88509743126766
1,-2.306381243149293,28,彰化縣,2019,DPP,KMT,-3.950748183812891
1,-2.306381243149293,28,新北市,2006,DPP,KMT,-3.0362587117297224
1,-2.306381243149293,28,新竹市,2002,DPP,KMT,4.174150034184976
1,-2.306381243149293,28,新竹市,2015,KMT,DPP,5.871827674752694
1,-2.306381243149293,28,桃園市,2002,DPP,KMT,-2.7399702327121744
1,-2.306381243149293,28,桃園市,2015,KMT,DPP,-1.6547764311177104
1,-2.306381243149293,28,桃園市,2023,DPP,KMT,-1.08032471602435
1,-2.306381243149293,28,澎湖縣,2006,KMT,DPP,-10.276986432428714
1,-2.306381243149293,28,澎湖縣,2019,DPP,KMT,3.9308051047845183
1,-2.306381243149293,28,澎湖縣,2023,KMT,DPP,-15.240470875600565
1,-2.306381243149293,28,臺中市,2002,DPP,KMT,0.8443794895599765
1,-2.306381243149293,28,臺中市,2015,KMT,DPP,-5.082361069489139
1,-2.306381243149293,28,臺中市,2019,DPP,KMT,-1.8563614672251205
1,-2.306381243149293,28,雲林縣,2006,KMT,DPP,-15.25951584939147
1,-2.306381243149293,28,雲林縣,2019,DPP,KMT,2.1995507865735675
1,-2.306381243149293,28,高雄市,2019,DPP,KMT,-1.5739994756884812
1,-2.306381243149293,28,高雄市,2021,KMT,DPP,-0.3737141981858372
2,1.1946978749603545,25,嘉義市,2015,KMT,DPP,-7.545474152900056
2,1.1946978749603545,25,嘉義市,2019,DPP,KMT,-3.908161892528206
2,1.1946978749603545,25,嘉義縣,2002,KMT,DPP,6.08382333428743
2,1.1946978749603545,25,基隆市,2015,KMT,DPP,-0.1476893180278438
2,1.1946978749603545,25,宜蘭縣,2006,DPP,KMT,13.265554631549392
2,1.1946978749603545,25,宜蘭縣,2010,KMT,DPP,19.604260158394204
2,1.1946978749603545,25,宜蘭縣,2019,DPP,KMT,-2.002451456844234
2,1.1946978749603545,25,彰化縣,2002,KMT,DPP,-2.6592036939158348
2,1.1946978749603545,25,彰化縣,2006,DPP,KMT,-0.9507580502049251
2,1.1946978749603545,25,彰化縣,2015,KMT,DPP,-5.200723330036183
2,1.1946978749603545,25,彰化縣,2019,DPP,KMT,5.992900629241049
2,1.1946978749603545,25,新北市,2006,DPP,KMT,7.380639441008263
2,1.1946978749603545,25,新竹市,2002,DPP,KMT,11.047374617761463
2,1.1946978749603545,25,新竹市,2015,KMT,DPP,0.8327967673176673
2,1.1946978749603545,25,桃園市,2002,DPP,KMT,2.6216390250279886
2,1.1946978749603545,25,桃園市,2015,KMT,DPP,-0.8672859862388194
2,1.1946978749603545,25,澎湖縣,2006,KMT,DPP,13.906685563753918
2,1.1946978749603545,25,澎湖縣,2019,DPP,KMT,-31.64630333068832
2,1.1946978749603545,25,臺中市,2002,DPP,KMT,-5.374279460894549
2,1.1946978749603545,25,臺中市,2015,KMT,DPP,5.925190900885191
2,1.1946978749603545,25,臺中市,2019,DPP,KMT,-0.7962692263406623
2,1.1946978749603545,25,雲林縣,2006,KMT,DPP,-1.9099040748878693
2,1.1946978749603545,25,雲林縣,2019,DPP,KMT,4.042682088168448
2,1.1946978749603545,25,高雄市,2019,DPP,KMT,-0.5570718035780686
2,1.1946978749603545,25,高雄市,2021,KMT,DPP,2.729475493699418
3,-1.4382045553453935,25,嘉義市,2015,KMT,DPP,3.82798953907848
3,-1.4382045553453935,25,嘉義市,2019,DPP,KMT,4.292698386271354
3,-1.4382045553453935,25,嘉義縣,2002,KMT,DPP,2.2208888691137574
3,-1.4382045553453935,25,基隆市,2015,KMT,DPP,-4.744305883598088
3,-1.4382045553453935,25,宜蘭縣,2006,DPP,KMT,-9.876380110272542
3,-1.4382045553453935,25,宜蘭縣,2010,KMT,DPP,-11.243833467665887
3,-1.4382045553453935,25,宜蘭縣,2019,DPP,KMT,-0.4482893512955499
3,-1.4382045553453935,25,彰化縣,2002,KMT,DPP,-5.200037503692911
3,-1.4382045553453935,25,彰化縣,2006,DPP,KMT,1.5928064582377388
3,-1.4382045553453935,25,彰化縣,2015,KMT,DPP,1.4757185979458853
3,-1.4382045553453935,25,彰化縣,2019,DPP,KMT,0.35778494508189596
3,-1.4382045553453935,25,新北市,2006,DPP,KMT,-2.3165033839433136
3,-1.4382045553453935,25,新竹市,2002,DPP,KMT,-11.195477802635345
3,-1.4382045553453935,25,新竹市,2015,KMT,DPP,-11.635368347960195
3,-1.4382045553453935,25,桃園市,2002,DPP,KMT,-1.4235166905198327
3,-1.4382045553453935,25,桃園市,2015,KMT,DPP,0.4823531737629949
3,-1.4382045553453935,25,澎湖縣,2006,KMT,DPP,-3.1951670470419913
3,-1.4382045553453935,25,澎湖縣,2019,DPP,KMT,10.903011932308715
3,-1.4382045553453935,25,臺中市,2002,DPP,KMT,0.7210472561292036
3,-1.4382045553453935,25,臺中市,2015,KMT,DPP,1.3925156917265369
3,-1.4382045553453935,25,臺中市,2019,DPP,KMT,0.008547372224931848
3,-1.4382045553453935,25,雲林縣,2006,KMT,DPP,-1.707440803703264
3,-1.4382045553453935,25,雲林縣,2019,DPP,KMT,-2.120620481172253
3,-1.4382045553453935,25,高雄市,2019,DPP,KMT,-0.3737141981858372
3,-1.4382045553453935,25,高雄市,2021,KMT,DPP,2.2501789661706795
4,2.980328493798153,24,嘉義市,2015,KMT,DPP,2.978995541981533
4,2.980328493798153,24,嘉義市,2019,DPP,KMT,2.104373630850098
4,2.980328493798153,24,嘉義縣,2002,KMT,DPP,0.5969096407742569
4,2.980328493798153,24,基隆市,2015,KMT,DPP,4.274826807049514
4,2.980328493798153,24,宜蘭縣,2006,DPP,KMT,7.0667858157227315
4,2.980328493798153,24,宜蘭縣,2010,KMT,DPP,8.805759020452442
4,2.980328493798153,24,宜蘭縣,2019,DPP,KMT,-4.70238009123829
4,2.980328493798153,24,彰化縣,2002,KMT,DPP,4.271988128529358
4,2.980328493798153,24,彰化縣,2006,DPP,KMT,-1.4901416753156482
